Attr1,Attr2,Attr3,Attr4,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr22,Attr23,Attr25,Attr26,Attr29,Attr30,Attr31,Attr33,Attr34,Attr35,Attr36,Attr38,Attr39,Attr40,Attr42,Attr43,Attr44,Attr46,Attr48,Attr49,Attr50,Attr51,Attr55,Attr56,Attr57,Attr58,Attr59,Attr62,Attr63,class
0.030073,0.59563,0.18668,1.3382,-0.00031864,0.04167,0.6789,0.32356,0.40437,0.042199,0.075493,0.14563,0.04167,4613.9,0.079109,1.6789,0.04167,0.12878,239.12,0.042196,0.092943,0.029802,0.059639,4.0672,1.8052,0.12878,0.51499,0.47725,0.039298,0.32356,0.40437,0.12146,0.028211,0.13041,815.69,576.57,0.95419,0.036746,0.11357,1.2401,0.55197,2179.5,0.12146,0.074369,0.87235,0.0,622.66,0.58619,b'0'
0.25786,0.29949,0.66519,3.2211,0.0,0.31877,2.332,1.6762,0.69841,0.32453,1.0644,0.19745,0.31877,330.29,1.1051,3.339,0.31877,0.19017,84.246,0.30466,0.15383,0.60775,0.90169,3.7415,0.14756,0.19021,4.6734,4.6734,0.27656,1.6762,0.69841,0.16499,0.17942,0.18175,198.36,114.11,1.9292,0.29247,0.17448,3.2211,0.29949,3668.6,0.16499,0.36921,0.81614,0.0,65.215,5.5969,b'0'
0.22716,0.6785,0.042784,1.0828,0.0,0.28505,0.47384,1.3241,0.3215,0.38107,0.55156,0.22794,0.28505,820.52,0.44484,1.4738,0.28505,0.21527,69.778,0.37947,0.17156,0.30975,0.35952,4.4738,0.48944,0.22194,1.8099,1.3786,0.38874,1.3241,0.47729,0.29358,0.087377,0.28658,141.81,72.028,0.59298,0.3627,0.27392,0.82475,0.5168,1273.8,0.29358,0.70657,0.78617,0.48456,142.46,2.5621,b'0'
0.085443,0.38039,0.35923,1.9444,0.1879,0.10823,1.3714,1.1126,0.52167,0.10823,0.28452,0.089326,0.10823,997.01,0.3661,2.6289,0.10823,0.069422,63.995,0.18834,0.054807,0.52167,0.3062,4.7049,0.19682,0.069422,3.6835,0.49514,0.18834,1.6347,0.52167,0.12081,0.20173,0.12081,155.2,91.204,1.2258,0.15731,0.10091,1.9444,0.38039,18209.0,0.10124,0.16379,0.89876,0.0,89.058,4.0984,b'0'
0.28784,0.55225,0.31634,1.7033,0.39012,0.28784,0.80761,1.292,0.446,0.28784,0.63991,0.19918,0.28784,683.17,0.53427,1.8108,0.28784,0.19431,46.705,0.3293,0.19431,0.446,0.53427,4.4051,0.30337,0.19431,2.549,0.59628,0.3293,1.4915,0.54844,0.22229,0.2375,0.22229,162.45,115.75,1.2819,0.32208,0.21742,1.3873,0.44981,8040.8,0.22599,0.64537,0.77401,0.22969,110.83,3.2933,b'0'
0.15382,0.47248,0.31179,1.6898,0.0,0.19081,1.1165,1.5046,0.52752,0.21834,0.42218,0.13684,0.19081,837.57,0.43579,2.1165,0.19081,0.12682,136.53,0.21833,0.10223,0.51066,0.35749,4.4721,0.31121,0.13251,2.8558,2.7318,0.21392,1.5046,0.54356,0.14217,0.018308,0.1451,183.27,46.739,0.4446,0.20324,0.13508,1.6165,0.45197,9246.0,0.14217,0.2916,0.87368,0.030421,109.64,3.3291,b'0'
0.26252,0.45834,0.41704,1.9406,0.0,0.26252,1.1818,2.1854,0.54166,0.27914,0.59208,0.35093,0.26252,218.14,1.6732,2.1818,0.26252,0.12013,46.978,0.0,0.12013,0.49893,1.6732,3.6246,0.20636,0.26914,1.8474,1.7872,0.0021362,2.1854,0.54166,0.00097752,0.22912,0.0,126.74,79.763,1.3062,-0.50439,-0.2308,1.8773,0.44339,1757.0,0.62518,0.48466,0.3859,0.0,74.055,4.9288,b'0'
0.0099006,0.71174,0.065186,1.1485,0.0,0.013459,0.405,1.1738,0.28826,0.062137,0.030651,0.047467,0.013459,4662.4,0.078286,1.405,0.013459,0.011466,47.033,0.038936,0.0084344,0.26931,0.073286,5.9649,0.60633,0.011466,2.237,1.3801,0.2384,1.1738,0.49594,0.20309,0.15598,0.033169,135.51,88.478,0.80398,-0.0033244,-0.0028321,0.70854,0.43911,1.1485,0.20309,0.034347,0.83056,0.72047,136.54,2.6732,b'0'
0.14532,0.76682,0.2087,1.2722,0.0,0.18548,0.30409,2.0445,0.23318,0.26704,0.24189,0.094359,0.18548,1450.8,0.25158,1.3041,0.18548,0.090724,116.03,0.2669,0.071079,0.22755,0.1992,3.9482,0.36897,0.104,2.3181,2.3181,0.26688,2.0445,0.23318,0.13054,0.023377,0.13055,170.96,54.93,0.42462,0.25947,0.12691,1.2722,0.76682,1852.5,0.13054,0.62321,0.90936,0.0,136.9,2.6662,b'0'
0.078337,0.52424,0.1659,1.3215,-0.49416,0.078337,0.90753,3.2457,0.47576,0.082791,0.15183,0.087944,0.078337,670.36,0.54448,1.9075,0.078337,0.024136,28.969,0.0,0.024136,-0.37216,0.54448,3.3646,0.15795,0.05533,4.4444,4.3742,0.014241,3.2457,0.47576,0.0043878,0.1332,0.0,68.951,39.981,0.82227,-0.2071,-0.063809,1.3007,0.51595,384.08,0.29349,0.16466,0.7079,0.0,58.022,6.2907,b'0'
