Attr1,Attr2,Attr3,Attr4,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr22,Attr23,Attr25,Attr26,Attr29,Attr30,Attr31,Attr33,Attr34,Attr35,Attr36,Attr38,Attr39,Attr40,Attr42,Attr43,Attr44,Attr46,Attr48,Attr49,Attr50,Attr51,Attr55,Attr56,Attr57,Attr58,Attr59,Attr62,Attr63,class
0.17419,0.41299,0.14371,1.348,0.60383,0.21946,1.1225,1.1961,0.46359,0.21946,0.53139,0.14233,0.21946,592.24,0.6163,2.4213,0.21946,0.12272,37.573,0.2951,0.097402,0.46359,0.50669,5.9473,0.22493,0.12272,3.6203,0.71453,0.2951,1.8079,0.46359,0.16501,0.21282,0.16501,95.682,58.109,0.90221,0.26003,0.1454,1.348,0.41299,127280.0,0.16396,0.37574,0.83604,6.5269e-06,84.291,4.3303,b'0'
0.14624,0.46038,0.2823,1.6294,0.0,0.17185,1.1721,1.6018,0.53962,0.17579,0.38317,0.12647,0.17185,829.46,0.44004,2.1721,0.17185,0.10728,60.954,0.17571,0.091295,0.17523,0.38442,4.0792,0.24384,0.10974,3.4733,3.3836,0.044076,1.6018,0.53962,0.027516,0.16406,0.10969,149.75,88.801,1.033,0.14497,0.090503,1.5874,0.44849,3387.8,0.027516,0.271,0.90108,0.0,102.19,3.5716,b'0'
0.00059529,0.22612,0.48839,3.1599,0.19114,0.0045718,2.9881,1.0077,0.67566,0.0045718,0.020219,0.030966,0.0045718,2094.1,0.1743,4.4225,0.0045718,0.0035921,53.881,0.04061,0.00046772,0.67566,0.15672,4.622,0.036196,0.0035921,5.5857,0.1796,0.04061,1.3425,0.67566,0.031907,0.84469,0.031907,150.13,96.251,2.329,0.0057691,0.0045328,3.1599,0.22612,20453.0,0.0076387,0.00088105,0.99236,0.0,64.846,5.6287,b'0'
0.024526,0.43236,0.27546,1.7833,0.56944,0.024526,1.3057,1.0509,0.56453,0.024526,0.069747,0.036812,0.024526,3299.4,0.11063,2.3129,0.024526,0.018876,86.317,0.055446,0.018876,0.56453,0.11063,4.26,0.28624,0.018876,3.5161,0.12824,0.055446,1.3068,0.64524,0.042673,0.17826,0.042673,158.55,72.237,0.90954,0.032141,0.024737,1.4504,0.35164,5012.6,0.048398,0.043445,0.9516,0.14298,98.783,3.695,b'0'
0.18829,0.41504,0.34231,1.9279,0.0,0.23358,1.4094,1.3393,0.58496,0.23881,0.63317,0.1878,0.23358,602.31,0.606,2.4094,0.23358,0.17441,140.86,0.23493,0.14059,0.5725,0.49687,4.6033,0.30691,0.17784,2.9897,2.6574,0.23635,1.3393,0.62769,0.17648,0.013769,0.17542,192.45,51.585,0.52685,0.21699,0.16203,1.7136,0.36891,13730.0,0.17648,0.32188,0.82635,0.073039,100.54,3.6303,b'0'
0.18206,0.55615,0.32191,1.6045,0.0,0.18206,0.79808,1.8126,0.44385,0.20766,0.34188,0.27163,0.18206,412.3,0.88528,1.7981,0.18206,0.10045,43.168,0.0,0.10045,0.416,0.88528,3.8104,0.29926,0.22877,1.512,1.4478,0.029538,1.8126,0.45691,0.016296,0.1856,0.0,152.16,108.99,1.2019,-0.31028,-0.17119,1.5364,0.53254,2080.6,0.55577,0.41019,0.46957,0.029421,107.24,3.4036,b'0'
0.0098323,0.67066,0.13546,1.2393,-0.0014006,0.013422,0.49108,1.1825,0.32934,0.055717,0.023711,0.047491,0.013422,4359.1,0.083733,1.4911,0.013422,0.011351,44.614,0.04612,0.0083151,0.3105,0.078381,5.9673,0.56717,0.011351,1.7455,1.4733,0.23389,1.1825,0.37675,0.1978,0.46285,0.039003,135.67,91.058,0.98398,0.0033856,0.0028632,1.046,0.56606,1.2393,0.1978,0.029854,0.83478,0.14394,174.73,2.0889,b'0'
0.23895,0.55473,0.40697,1.7609,0.0,0.29714,0.80268,2.3317,0.44527,0.33061,0.55553,0.13198,0.29714,657.95,0.55475,1.8027,0.29714,0.12743,81.972,0.33015,0.10248,0.43913,0.44985,3.911,0.20211,0.13836,3.7474,3.6133,0.32732,2.3317,0.46512,0.14038,0.17507,0.14159,132.77,50.802,0.78182,0.31955,0.13704,1.6978,0.53488,3315.2,0.14038,0.53663,0.87292,0.044584,83.727,4.3594,b'0'
-0.11986,0.60733,0.041368,1.0688,-0.44797,-0.11986,0.64655,3.0,0.39267,-0.11986,-0.1993,0.011424,-0.11986,6467.9,0.056432,1.6466,-0.11986,-0.039953,28.419,0.0,-0.039953,-0.52078,0.056432,3.3322,0.19386,-0.079906,3.67,3.6342,0.0069493,3.0,0.39267,0.0023164,0.079719,0.0,72.372,43.953,0.6804,-0.15413,-0.051377,1.0584,0.60142,88.899,0.26428,-0.30525,0.73749,0.0,73.172,4.9883,b'0'
-0.13035,0.08968,0.14907,2.6622,-0.20856,-0.12478,8.9791,0.76134,0.80524,-0.12478,-1.3914,-0.025158,-0.12478,-2864.9,-0.12741,11.151,-0.12478,-0.27475,148.05,-0.12461,-0.28701,0.80524,-0.18946,4.0259,0.18671,-0.27475,6.6517,-1.3895,-0.12461,0.50197,0.80524,-0.27437,0.17146,-0.27437,179.52,31.473,0.60813,-0.23796,-0.52396,2.6622,0.08968,1582.1,-0.31347,-0.16187,1.3135,0.0,72.074,5.0642,b'0'
